type,start_time,end_time,confidence,content,discard,PhrasalVerb
pronunciation,0m 6.09s,0m 6.76s,0.999,Hi,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 6.77s,0m 7.48s,0.999,Hello,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 7.49s,0m 7.68s,0.999,Can,False,False
pronunciation,0m 7.69s,0m 7.78s,0.999,you,False,False
pronunciation,0m 7.79s,0m 7.94s,0.999,hear,False,False
pronunciation,0m 7.95s,0m 8.50s,0.999,me,False,False
pronunciation,0m 10.83s,0m 11.22s,0.999,doing,False,False
pronunciation,0m 11.23s,0m 11.63s,0.999,great,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 11.64s,0m 11.78s,0.999,What,False,False
pronunciation,0m 11.79s,0m 12.11s,0.999,about,False,False
pronunciation,0m 12.12s,0m 12.61s,0.999,you,False,False
punctuation,,,0.0,?,False,False
punctuation,,,0.0,",",False,False
pronunciation,0m 16.28s,0m 16.56s,0.997,that's,False,False
pronunciation,0m 16.57s,0m 17.22s,0.998,right,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 21.00s,0m 21.26s,0.996,I'm,False,False
pronunciation,0m 21.27s,0m 21.46s,0.996,from,False,False
pronunciation,0m 21.47s,0m 21.79s,0.696,Brazil,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 21.80s,0m 21.97s,0.996,I'm,False,False
pronunciation,0m 21.98s,0m 22.31s,0.997,from,False,False
pronunciation,0m 22.32s,0m 22.42s,0.836,Sao,False,False
pronunciation,0m 22.48s,0m 22.98s,0.989,Paulo,False,False
pronunciation,0m 22.99s,0m 23.14s,0.999,in,False,False
pronunciation,0m 23.15s,0m 23.74s,0.998,Brazil,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,",",False,False
pronunciation,0m 28.28s,0m 28.93s,0.998,no,False,False
punctuation,,,0.0,",",False,False
pronunciation,0m 30.32s,0m 30.88s,0.997,not,False,False
pronunciation,0m 30.89s,0m 31.02s,0.999,so,False,False
pronunciation,0m 31.03s,0m 31.94s,0.999,much,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 31.95s,0m 32.06s,0.995,I'm,False,False
pronunciation,0m 32.07s,0m 32.26s,0.999,not,False,False
pronunciation,0m 32.27s,0m 32.28s,0.999,a,False,False
pronunciation,0m 32.29s,0m 32.58s,0.999,big,False,False
pronunciation,0m 32.59s,0m 32.86s,0.998,fan,False,False
pronunciation,0m 32.87s,0m 33.42s,0.999,of,False,False
pronunciation,0m 33.55s,0m 34.60s,0.998,sports,False,False
pronunciation,0m 34.75s,0m 34.92s,0.9684999999999999,in,False,False
pronunciation,0m 34.93s,0m 35.62s,0.999,general,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 41.29s,0m 41.92s,0.996,No,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,",",False,False
pronunciation,0m 42.23s,0m 42.72s,0.996,that's,False,False
pronunciation,0m 42.73s,0m 43.37s,0.999,pretty,False,False
pronunciation,0m 43.38s,0m 43.83s,0.999,famous,False,False
pronunciation,0m 43.84s,0m 44.60s,0.999,here,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 44.65s,0m 45.20s,0.999,We,False,False
pronunciation,0m 45.21s,0m 46.00s,0.999,love,False,False
pronunciation,0m 46.01s,0m 46.52s,0.999,soccer,False,False
pronunciation,0m 46.53s,0m 46.92s,0.999,but,False,False
pronunciation,0m 47.66s,0m 47.76s,0.999,in,False,False
pronunciation,0m 47.77s,0m 48.28s,0.999,general,False,False
punctuation,,,0.0,",",False,False
